
==================== AREA: Sociabilidad ====================

--- Manada ---
ID: 2394dd5b-87b9-4f3d-9cdd-a42649139782 | Infancia Tardía | Comprendo y respeto las normas que se han puesto en mi casa y en la escuela, aunque no siempre esté de acuerdo con ellas
ID: 5cbe35dc-d15b-4070-9a36-5b0e652c7946 | Infancia Tardía | Respeto las opiniones de los demás.
ID: cfa10133-c25c-4deb-aebe-a00f8fe3f7ef | Infancia Media | Comparto lo que tengo con mis compañeros y compañeras.
ID: a5c8bf0d-4e75-4f7a-89a2-9feabf5ec808 | Infancia Media | Participo en juegos y actividades sobre los derechos del niño.
ID: d15e8733-8e84-44e4-9e9c-f8090e201b6e | Infancia Tardía | Conozco los derechos del niño y los relaciono con situaciones que conozco o con otras de las que he oído hablar.
ID: 71dbded5-c880-4593-8a7b-3aa755570ece | Infancia Media | Sé por qué tengo que respetar las decisiones que toman los mayores.
ID: 46916a35-67a6-417d-ab93-c6cfee4167df | Infancia Tardía | Respeto a mis papás y profesores y las decisiones que toman.
ID: b69188bf-2391-43c1-a885-abd1b13912be | Infancia Media | Acepto las reglas que se ponen en mi casa, en la escuela y en la Manada.
ID: 201cf9be-ca1f-40c4-a20a-ee589346e863 | Infancia Media | Ayudo en mi casa tan pronto como me lo piden.
ID: 2c0a4112-199e-48a7-bf61-e4fb747245b2 | Infancia Media | Sé donde están los bomberos, la policía, el hospital y algunos otros servicios públicos del lugar donde vivo.
ID: 7bedad89-69e0-46b5-907e-a84c19e188d1 | Infancia Tardía | Sé cuáles son y dónde están los principales servicios públicos del lugar donde vivo.
ID: d5415bd4-83bf-4a22-aeaf-9926b88f9b00 | Infancia Tardía | Participo siempre en campañas de ayuda a quienes lo necesitan.
ID: cafa257b-1d05-486a-8b69-ef5695a33925 | Infancia Media | Conozco los símbolos de mi país, como por ejemplo la bandera, el himno y el escudo.
ID: e3b22fc6-8896-44bd-9aa4-48f1a0ca49fd | Infancia Media | Respeto los símbolos de mi país.
ID: 8888b244-344e-40a1-9abe-d547a43deecb | Infancia Tardía | Algo conozco de las cosas típicas del lugar en que vivo.
ID: f5e2e054-9561-4132-a855-ffc9f25fac33 | Infancia Tardía | Me gusta la cultura de mi país y las distintas formas en que se expresa.
ID: b770bce4-9786-4fd6-bc7d-5bde211417a6 | Infancia Media | Sé cuáles son las distintas Unidades que hay en mi Grupo y conozco sus nombres.
ID: 85d5cef4-2483-4b79-a1e1-b7117f60fdc2 | Infancia Media | Sé cuáles son los países americanos.
ID: 472be67d-b110-4fd9-aa16-1f0bf088067c | Infancia Tardía | Participo en actividades de intercambio con Manadas de otros Grupos.
